TOA5,FRP2-1,DataGSHP,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,T_out,RH_out,P_Total,P_Comp,P_fan,P_Pump,GSHP104_ontime,T_in,RH_in,T_Supply,T_Return,RH_Supply,RH_Return,"T_tank,bot","T_tank,top",AF_AHU,WF_AHU,T_waterIn,T_waterOut
TS,RN,degF,%RH,Wh,Wh,Wh,Wh,min,Deg F,%RH,Deg F,Deg F,%RH,%RH,Deg F,Deg F,ACFM,GPM,,
,,Avg,Avg,Tot,Tot,Tot,Tot,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
11/1/22 20:00,520932,60.42,76.78,11.92,10.38,0.785,0,15,69.78,53.36,60.94,68.48,78.45,51.53,45.82,50.63,491.4,0,52.89,43.37
11/1/22 20:01,520933,60.45,76.92,11.9,10.4,0.76,0,1,69.88,54.27,61.09,68.54,78.81,52.07,45.09,49.74,482,0,52.19,42.9
11/1/22 20:02,520934,60.52,77.44,11.94,10.46,0.76,0,2,70.2,54.19,61.36,68.64,78.92,52.83,44.39,49,484,0,51.52,42.37
11/1/22 20:03,520935,60.46,78.67,12.08,10.54,0.78,0,3,70.54,54.13,61.64,68.71,78.73,53.23,43.74,48.35,463.8,0,50.84,41.86
11/1/22 20:04,520936,60.36,79.42,12.02,10.52,0.78,0,4,70.87,54.25,61.87,68.77,78.52,53.72,43.09,47.98,469.9,0,50.16,41.25
11/1/22 20:05,520937,60.21,80.1,12.1,10.58,0.785,0,5,71.01,54.34,62.06,68.84,78.21,54.33,42.45,47.31,461.3,0,49.51,40.82
11/1/22 20:06,520938,60.05,80.8,12.22,10.68,0.78,0,6,71.14,54.48,62.24,68.91,77.99,54.78,41.83,46.72,464.7,0,48.86,40.36
11/1/22 20:07,520939,59.74,79.71,12.18,10.68,0.78,0,7,71.27,54.72,62.4,68.97,77.7,54.74,41.24,45.58,477.5,0,48.24,39.71
11/1/22 20:08,520940,59.74,78.75,12.22,10.7,0.78,0,8,71.44,54.85,62.57,69.02,77.44,54.89,40.66,44.99,472,0,47.62,39.43
11/1/22 20:09,520941,59.81,78.67,12.2,10.68,0.78,0,9,71.46,55.13,62.74,69.06,77.39,55.37,40.07,44.29,465.5,0,47,38.91
11/1/22 20:10,520942,59.77,79.17,12.26,10.72,0.78,0,10,71.46,55.39,62.94,69.1,77.14,55.69,39.49,43.64,471.1,0,46.4,38.57
11/1/22 20:11,520943,59.77,79.48,12.2,10.68,0.785,0,11,71.58,55.49,63.11,69.13,77.12,55.95,38.92,43.03,470,0,45.8,38.18
11/1/22 20:12,520944,59.72,79.75,12.22,10.72,0.775,0,12,71.34,55.89,63.25,69.15,76.75,56.17,38.36,42.52,474.7,0,45.19,37.65
11/1/22 20:13,520945,59.74,80.8,12.3,10.78,0.78,0,13,71.04,56.59,63.39,69.14,76.43,56.3,37.82,42.01,464.9,0,44.62,37.29
11/1/22 20:14,520946,59.68,81.3,12.36,10.84,0.775,0,14,70.88,57.25,63.48,69.11,76.08,56.33,37.29,41.6,462.8,0,44.05,36.97
11/1/22 20:15,520947,59.6,81.5,12.38,10.88,0.78,0,15,70.72,58.05,63.56,69.1,75.73,56.19,36.74,41.17,466,0,43.45,36.63
11/1/22 20:16,520948,59.62,81.4,12.46,10.96,0.78,0,1,70.52,58.51,63.66,69.06,75.53,56.22,36.21,40.6,465.8,0,42.92,36.25
11/1/22 20:17,520949,59.5,81.4,12.5,10.96,0.775,0,2,70.39,58.89,63.74,69.04,75.13,56.45,35.66,39.92,473,0,42.37,35.93
11/1/22 20:18,520950,59.4,81.8,12.46,10.94,0.78,0,3,70.35,59.24,63.86,69.02,75.02,56.98,35.18,39.46,461,0,41.84,35.45
11/1/22 20:19,520951,59.31,81.9,12.54,11.04,0.775,0,4,70.26,59.45,64,69.02,74.78,57.37,34.78,38.95,464,0,41.3,35.05
11/1/22 20:20,520952,59.29,82.1,12.54,11.02,0.78,0,5,70.19,59.69,64.13,69.01,74.78,57.6,34.44,38.38,468.3,0,40.79,34.42
11/1/22 20:21,520953,59.29,82.4,12.44,10.94,0.775,0,6,70.17,59.98,64.26,69,74.5,57.69,34.13,37.88,462.5,0,40.31,33.85
11/1/22 20:22,520954,59.28,82.3,12.5,10.98,0.78,0,7,70.15,60.12,64.39,69.01,74.13,57.74,33.83,37.3,477.8,0,39.78,33.68
11/1/22 20:23,520955,59.13,82.4,12.52,11,0.78,0,8,70.1,60.42,64.5,69,73.65,57.99,33.52,36.81,472.6,0,39.26,32.95
11/1/22 20:24,520956,58.85,83,12.52,11.02,0.775,0,9,70.06,60.45,64.61,69,73.18,57.98,33.25,36.21,460.5,0,38.78,32.42
11/1/22 20:25,520957,58.45,83.9,12.56,11.04,0.78,0,10,70.02,60.66,64.73,69,72.95,58.14,32.95,35.67,467.8,0,38.28,31.65
